Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.37600",mm
Specimen properties : Length,"12.02000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.00000","0.00980","0.08829","0.00000","0.00000","0.00980","0.00000","0.00000"
"0.00125","0.01945","0.17516","0.10000","0.00000","0.01945","0.00125","0.00010"
"0.01104","0.02941","0.26487","0.20000","0.00000","0.02941","0.01104","0.00092"
"0.02208","0.05967","0.53738","0.30000","0.00000","0.05967","0.02208","0.00184"
"0.03167","0.07825","0.70473","0.40000","0.00000","0.07825","0.03167","0.00263"
"0.04062","0.09398","0.84642","0.50000","0.00000","0.09398","0.04062","0.00338"
"0.04937","0.11477","1.03365","0.60000","0.00000","0.11477","0.04937","0.00411"
"0.05812","0.13157","1.18492","0.70000","0.00000","0.13157","0.05812","0.00484"
"0.06646","0.15702","1.41413","0.80000","0.00000","0.15702","0.06646","0.00553"
"0.07479","0.16607","1.49566","0.90000","0.00000","0.16607","0.07479","0.00622"
"0.08333","0.18541","1.66977","1.00000","0.00000","0.18541","0.08333","0.00693"
"0.09187","0.20204","1.81956","1.10000","0.00000","0.20204","0.09187","0.00764"
"0.10042","0.22407","2.01801","1.20000","0.00000","0.22407","0.10042","0.00835"
"0.10875","0.24598","2.21535","1.30000","0.00000","0.24598","0.10875","0.00905"
"0.11687","0.27776","2.50155","1.40000","0.00000","0.27776","0.11687","0.00972"
"0.12500","0.28571","2.57310","1.50000","0.00000","0.28571","0.12500","0.01040"
"0.13333","0.31184","2.80847","1.60000","0.00000","0.31184","0.13333","0.01109"
"0.14208","0.32769","2.95118","1.70000","0.00000","0.32769","0.14208","0.01182"
"0.15062","0.35478","3.19513","1.80000","0.00000","0.35478","0.15062","0.01253"
"0.15854","0.37419","3.37001","1.90000","0.00000","0.37419","0.15854","0.01319"
"0.16667","0.38689","3.48438","2.00000","0.00000","0.38689","0.16667","0.01387"
"0.17500","0.41291","3.71871","2.10000","0.00000","0.41291","0.17500","0.01456"
"0.18375","0.43930","3.95638","2.20000","0.00000","0.43930","0.18375","0.01529"
"0.19229","0.46632","4.19968","2.30000","0.00000","0.46632","0.19229","0.01600"
"0.20021","0.49135","4.42514","2.40000","0.00000","0.49135","0.20021","0.01666"
"0.20833","0.51202","4.61130","2.50000","0.00000","0.51202","0.20833","0.01733"
"0.21667","0.53215","4.79257","2.60000","0.00000","0.53215","0.21667","0.01803"
"0.22542","0.55362","4.98589","2.70000","0.00000","0.55362","0.22542","0.01875"
"0.23354","0.57139","5.14592","2.80000","0.00000","0.57139","0.23354","0.01943"
"0.24167","0.58874","5.30225","2.90000","0.00000","0.58874","0.24167","0.02011"
"0.24979","0.61830","5.56845","3.00000","0.00000","0.61830","0.24979","0.02078"
"0.25854","0.62379","5.61785","3.10000","0.00000","0.62379","0.25854","0.02151"
"0.26708","0.65580","5.90617","3.20000","0.00000","0.65580","0.26708","0.02222"
"0.27521","0.67407","6.07068","3.30000","0.00000","0.67407","0.27521","0.02290"
"0.28312","0.69350","6.24566","3.40000","0.00000","0.69350","0.28312","0.02355"
"0.29146","0.71198","6.41213","3.50000","0.00000","0.71198","0.29146","0.02425"
"0.30021","0.73362","6.60700","3.60000","0.00000","0.73362","0.30021","0.02498"
"0.30896","0.74448","6.70484","3.70000","0.00000","0.74448","0.30896","0.02570"
"0.31687","0.72817","6.55790","3.80000","0.00000","0.72817","0.31687","0.02636"
"0.32479","0.76391","6.87980","3.90000","0.00000","0.76391","0.32479","0.02702"
"0.33312","0.79859","7.19215","4.00000","0.00000","0.79859","0.33312","0.02771"
"0.34187","0.82509","7.43077","4.10000","0.00000","0.82509","0.34187","0.02844"
"0.35062","0.84865","7.64300","4.20000","0.00000","0.84865","0.35062","0.02917"
