Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.30700",mm
Specimen properties : Length,"16.08000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.00000","0.02692","0.36368","0.00000","0.00000","0.02692","0.00000","0.00000"
"0.00083","0.03051","0.41215","0.10000","0.00000","0.03051","0.00083","0.00005"
"0.00583","0.06000","0.81062","0.20000","0.00000","0.06000","0.00583","0.00036"
"0.01875","0.15117","2.04225","0.30000","0.00000","0.15117","0.01875","0.00117"
"0.03021","0.22847","3.08653","0.40000","0.00000","0.22847","0.03021","0.00188"
"0.03979","0.29795","4.02511","0.50000","0.00000","0.29795","0.03979","0.00247"
"0.04875","0.35067","4.73730","0.60000","0.00000","0.35067","0.04875","0.00303"
"0.05792","0.39742","5.36894","0.70000","0.00000","0.39742","0.05792","0.00360"
"0.06667","0.44134","5.96220","0.80000","0.00000","0.44134","0.06667","0.00415"
"0.07458","0.49280","6.65746","0.90000","0.00000","0.49280","0.07458","0.00464"
"0.08312","0.53441","7.21955","1.00000","0.00000","0.53441","0.08312","0.00517"
"0.09167","0.57083","7.71159","1.10000","0.00000","0.57083","0.09167","0.00570"
"0.10042","0.62266","8.41174","1.20000","0.00000","0.62266","0.10042","0.00624"
"0.10854","0.65854","8.89641","1.30000","0.00000","0.65854","0.10854","0.00675"
"0.11646","0.69360","9.37009","1.40000","0.00000","0.69360","0.11646","0.00724"
"0.12479","0.74487","10.06271","1.50000","0.00000","0.74487","0.12479","0.00776"
"0.13333","0.78046","10.54354","1.60000","0.00000","0.78046","0.13333","0.00829"
"0.14229","0.81084","10.95384","1.70000","0.00000","0.81084","0.14229","0.00885"
"0.15042","0.86170","11.64102","1.80000","0.00000","0.86170","0.15042","0.00935"
"0.15854","0.89918","12.14737","1.90000","0.00000","0.89918","0.15854","0.00986"
"0.16687","0.93422","12.62061","2.00000","0.00000","0.93422","0.16687","0.01038"
"0.17521","0.97880","13.22294","2.10000","0.00000","0.97880","0.17521","0.01090"
"0.18396","1.00429","13.56729","2.20000","0.00000","1.00429","0.18396","0.01144"
"0.19187","1.03764","14.01775","2.30000","0.00000","1.03764","0.19187","0.01193"
"0.20000","1.07291","14.49430","2.40000","0.00000","1.07291","0.20000","0.01244"
"0.20812","1.10743","14.96063","2.50000","0.00000","1.10743","0.20812","0.01294"
"0.21687","1.13758","15.36792","2.60000","0.00000","1.13758","0.21687","0.01349"
"0.22583","1.18436","15.99984","2.70000","0.00000","1.18436","0.22583","0.01404"
"0.23354","1.21148","16.36620","2.80000","0.00000","1.21148","0.23354","0.01452"
"0.24167","1.24668","16.84178","2.90000","0.00000","1.24668","0.24167","0.01503"
"0.24979","1.27427","17.21450","3.00000","0.00000","1.27427","0.24979","0.01553"
"0.25833","1.31425","17.75468","3.10000","0.00000","1.31425","0.25833","0.01607"
"0.26708","1.34154","18.12333","3.20000","0.00000","1.34154","0.26708","0.01661"
"0.27521","1.37408","18.56283","3.30000","0.00000","1.37408","0.27521","0.01711"
"0.28333","1.40318","18.95603","3.40000","0.00000","1.40318","0.28333","0.01762"
"0.29167","1.43609","19.40061","3.50000","0.00000","1.43609","0.29167","0.01814"
"0.30021","1.47260","19.89380","3.60000","0.00000","1.47260","0.30021","0.01867"
"0.30896","1.50296","20.30396","3.70000","0.00000","1.50296","0.30896","0.01921"
"0.31687","1.53215","20.69828","3.80000","0.00000","1.53215","0.31687","0.01971"
"0.32479","1.56234","21.10620","3.90000","0.00000","1.56234","0.32479","0.02020"
"0.33312","1.59230","21.51082","4.00000","0.00000","1.59230","0.33312","0.02072"
"0.34208","1.62224","21.91532","4.10000","0.00000","1.62224","0.34208","0.02127"
"0.35062","1.65987","22.42371","4.20000","0.00000","1.65987","0.35062","0.02181"
"0.35875","1.69103","22.84468","4.30000","0.00000","1.69103","0.35875","0.02231"
"0.36708","1.72367","23.28562","4.40000","0.00000","1.72367","0.36708","0.02283"
"0.37521","1.75198","23.66809","4.50000","0.00000","1.75198","0.37521","0.02333"
"0.38375","1.78148","24.06652","4.60000","0.00000","1.78148","0.38375","0.02387"
"0.39229","1.81634","24.53746","4.70000","0.00000","1.81634","0.39229","0.02440"
"0.40021","1.83474","24.78606","4.80000","0.00000","1.83474","0.40021","0.02489"
