Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.00000","0.01146","0.09162","0.00000","0.00000","0.01146","0.00000","0.00000"
"0.00104","0.01235","0.09874","0.10000","0.00000","0.01235","0.00104","0.00007"
"0.01062","0.05944","0.47537","0.20000","0.00000","0.05944","0.01062","0.00074"
"0.02187","0.10961","0.87665","0.30000","0.00000","0.10961","0.02187","0.00153"
"0.03167","0.14477","1.15779","0.40000","0.00000","0.14477","0.03167","0.00221"
"0.04125","0.18258","1.46019","0.50000","0.00000","0.18258","0.04125","0.00288"
"0.05000","0.21359","1.70822","0.60000","0.00000","0.21359","0.05000","0.00349"
"0.05833","0.23844","1.90697","0.70000","0.00000","0.23844","0.05833","0.00407"
"0.06667","0.28216","2.25662","0.80000","0.00000","0.28216","0.06667","0.00465"
"0.07521","0.29930","2.39371","0.90000","0.00000","0.29930","0.07521","0.00525"
"0.08375","0.34346","2.74691","1.00000","0.00000","0.34346","0.08375","0.00584"
"0.09208","0.37805","3.02354","1.10000","0.00000","0.37805","0.09208","0.00643"
"0.10042","0.40648","3.25090","1.20000","0.00000","0.40648","0.10042","0.00701"
"0.10854","0.43597","3.48672","1.30000","0.00000","0.43597","0.10854","0.00757"
"0.11708","0.46564","3.72402","1.40000","0.00000","0.46564","0.11708","0.00817"
"0.12562","0.50727","4.05697","1.50000","0.00000","0.50727","0.12562","0.00877"
"0.13375","0.53827","4.30492","1.60000","0.00000","0.53827","0.13375","0.00933"
"0.14208","0.57989","4.63781","1.70000","0.00000","0.57989","0.14208","0.00992"
"0.15021","0.60943","4.87401","1.80000","0.00000","0.60943","0.15021","0.01048"
"0.15875","0.63580","5.08490","1.90000","0.00000","0.63580","0.15875","0.01108"
"0.16708","0.67153","5.37071","2.00000","0.00000","0.67153","0.16708","0.01166"
"0.17500","0.70961","5.67524","2.10000","0.00000","0.70961","0.17500","0.01221"
"0.18333","0.74254","5.93860","2.20000","0.00000","0.74254","0.18333","0.01279"
"0.19167","0.77248","6.17804","2.30000","0.00000","0.77248","0.19167","0.01338"
"0.20042","0.80782","6.46070","2.40000","0.00000","0.80782","0.20042","0.01399"
"0.20896","0.84189","6.73319","2.50000","0.00000","0.84189","0.20896","0.01458"
"0.21687","0.87616","7.00727","2.60000","0.00000","0.87616","0.21687","0.01513"
"0.22500","0.90244","7.21743","2.70000","0.00000","0.90244","0.22500","0.01570"
"0.23333","0.94070","7.52340","2.80000","0.00000","0.94070","0.23333","0.01628"
"0.24229","0.97978","7.83595","2.90000","0.00000","0.97978","0.24229","0.01691"
"0.25062","1.01724","8.13553","3.00000","0.00000","1.01724","0.25062","0.01749"
"0.25875","1.04266","8.33888","3.10000","0.00000","1.04266","0.25875","0.01806"
"0.26687","1.07275","8.57949","3.20000","0.00000","1.07275","0.26687","0.01862"
"0.27521","1.11216","8.89469","3.30000","0.00000","1.11216","0.27521","0.01921"
"0.28396","1.14123","9.12716","3.40000","0.00000","1.14123","0.28396","0.01982"
"0.29229","1.17929","9.43163","3.50000","0.00000","1.17929","0.29229","0.02040"
"0.30021","1.20886","9.66806","3.60000","0.00000","1.20886","0.30021","0.02095"
"0.30854","1.23994","9.91661","3.70000","0.00000","1.23994","0.30854","0.02153"
"0.31687","1.27787","10.22003","3.80000","0.00000","1.27787","0.31687","0.02211"
"0.32562","1.30607","10.44554","3.90000","0.00000","1.30607","0.32562","0.02272"
"0.33396","1.34340","10.74408","4.00000","0.00000","1.34340","0.33396","0.02330"
"0.34208","1.36868","10.94625","4.10000","0.00000","1.36868","0.34208","0.02387"
"0.35021","1.40704","11.25308","4.20000","0.00000","1.40704","0.35021","0.02444"
"0.35875","1.43207","11.45322","4.30000","0.00000","1.43207","0.35875","0.02503"
"0.36729","1.46940","11.75181","4.40000","0.00000","1.46940","0.36729","0.02563"
"0.37542","1.50277","12.01867","4.50000","0.00000","1.50277","0.37542","0.02620"
